NAME,PRICE,24H CHANGE,24H VOLUME,MARKET CAP
Bitcoin,"$26,728.40",+0.95%,$11.33 B,$518.13 B
Ethereum,"$1,827.91",+0.94%,$518.13 B,$219.82 B
Tether,$1.00,+0.05%,$4.94 B,$83.15 B
BNB,$305.93,-0.17%,$219.82 B,$47.68 B
USD Coin,$1.00,+0.01%,$16.83 B,$29.08 B
XRP,$0.4728,+2.22%,$83.15 B,$24.58 B
Cardano,$0.3641,+2.04%,$373.1 M,$12.7 B
Dogecoin,$0.07148,+1.14%,$47.68 B,$9.97 B
Polygon,$0.9208,+2.87%,$2.16 B,$8.54 B
Solana,$19.53,+1.41%,$29.08 B,$7.74 B
TRON,$0.07613,-0.12%,$847.07 M,$6.87 B
Litecoin,$87.82,+1.15%,$24.58 B,$6.41 B
Polkadot,$5.28,+1.03%,$157.78 M,$6.27 B
Binance USD,$1.00,+0.08%,$12.7 B,$5.28 B
Shiba Inu,$0.000008525,+0.62%,$156.62 M,$5.02 B
Dai,$1.00,+0.05%,$9.97 B,$4.82 B
Avalanche,$14.33,+1.86%,$504.09 M,$4.8 B
Chainlink,$6.37,+0.97%,$8.54 B,$3.3 B
UNUS SED LEO,$3.51,-1.39%,$126.67 M,$3.27 B
Cosmos,$10.54,+0.68%,$7.74 B,$3.02 B
Uniswap,$5.00,+0.37%,$194.82 M,$2.89 B
OKB,$46.71,+1.67%,$6.87 B,$2.8 B
Monero,$151.03,-0.51%,$390.6 M,$2.76 B
Ethereum Classic,$17.97,+1.12%,$6.41 B,$2.54 B
Stellar,$0.08829,+0.84%,$79.07 M,$2.37 B
Toncoin,$1.91,+0.99%,$6.27 B,$2.33 B
Bitcoin Cash,$113.00,+0.16%,$1.62 B,$2.19 B
Internet Computer,$4.95,+2.58%,$5.28 B,$2.16 B
Cryptonex,$19.50,+0.98%,$67.66 M,$2.09 B
TrueUSD,$1.00,+0.07%,$5.02 B,$2.06 B
Filecoin,$4.45,+1.18%,$106.05 M,$1.9 B
Lido DAO Token,$1.98,+0.45%,$4.82 B,$1.74 B
Wrapped HBAR,$0.05235,+3.10%,$123.99 M,$1.65 B
Hedera,$0.05207,+1.66%,$4.8 B,$1.64 B
Aptos,$8.11,+1.43%,$93.66 M,$1.61 B
Cronos,$0.0601,+0.18%,$3.3 B,$1.57 B
Arbitrum,$1.16,+0.22%,$1.11 M,$1.48 B
NEAR Protocol,$1.59,+2.29%,$3.27 B,$1.45 B
GG TOKEN,$0.1287,+35.81%,$52.65 M,$1.47 B
VeChain,$0.01932,+1.01%,$3.02 B,$1.41 B
Quant,$101.28,+4.16%,$34.44 M,$1.22 B
ApeCoin,$3.21,-0.09%,$2.89 B,$1.18 B
Algorand,$0.15,+1.11%,$4.2 M,$1.09 B
The Graph,$0.1192,+3.24%,$2.8 B,$1.07 B
Pax Dollar,$0.9997,+0.01%,$38.77 M,$1.02 B
Wrapped EOS,$0.92,+2.94%,$2.76 B,$1 B
Frax,$0.9994,+0.07%,$67.98 M,$1 B
Render Token,$2.71,-3.70%,$2.54 B,$993.85 M
EOS,$0.8764,+3.67%,$29.18 M,$957.24 M
BitDAO,$0.5166,+0.49%,$2.37 B,$952.51 M
